rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,val_fitness_raw,n_episodes_val,max_episode_val,n_episodes_train_val,val_half1_excess_sharpe,val_half2_excess_sharpe,stable,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on,drop_reason
~asp_jupiter_moon_opp_orb1,1,2,-0.038429959287225965,-0.01842995928722596,0.48420273127479446,-0.005768219908139621,0.01423178009186038,0.40667220898998524,0.39244042889812486,-0.005768219908139621,32,265,69,0.020224333041981235,0.01022832748536523,True,-0.06893474789001473,-0.04893474789001473,0.7063533394091277,0.7552880872991424,,,validation,
~asp_pluto_sun_sextile_orb3,1,2,-0.07813081609879528,-0.05813081609879528,0.44450187446322514,-0.00614674390678625,0.01385325609321375,0.4062936849913386,0.39244042889812486,-0.00614674390678625,31,167,80,-0.0034202063309279884,0.02555022506341234,False,-0.05255477115807837,-0.032554771158078366,0.7227333161410641,0.7552880872991424,,,validation,
~asp_pluto_venus_sextile_orb1,1,2,-0.05433458245568144,-0.03433458245568144,0.468298108106339,-0.00674997704201195,0.01325002295798805,0.4056904518561129,0.39244042889812486,-0.00674997704201195,30,279,75,0.04583381854056967,-0.011419511955687606,False,-0.04898953344176647,-0.02898953344176647,0.726298553857376,0.7552880872991424,,,validation,
~asp_pluto_sun_square_orb1,1,2,-0.07159975626791613,-0.05159975626791613,0.4510329342941043,-0.006909163595543482,0.013090836404456518,0.4055312653025814,0.39244042889812486,-0.006909163595543482,26,252,66,0.04199769694224309,-0.006967606598064974,False,-0.07857950436820126,-0.05857950436820125,0.6967085829309412,0.7552880872991424,,,validation,
~asp_saturn_sun_conj_orb5,1,2,0.04592299117074651,0.06592299117074651,0.5685556817327669,-0.007230525744235421,0.012769474255764579,0.40520990315388944,0.39244042889812486,-0.007230525744235421,16,256,40,0.014651456577578603,0.012902364628126023,True,-0.03700349992837147,-0.01700349992837147,0.738284587370771,0.7552880872991424,,,validation,
~asp_saturn_venus_square_orb3,1,2,-0.04043308654706028,-0.020433086547060275,0.48219960401496015,-0.0072519158446829705,0.01274808415531703,0.4051885130534419,0.39244042889812486,-0.0072519158446829705,32,192,83,-0.053776971076346824,0.06462340628436286,False,-0.004656452168570007,0.015343547831429993,0.7706316351305724,0.7552880872991424,,,validation,
~asp_saturn_venus_conj_orb3,1,2,0.004871909479507903,0.024871909479507903,0.5275046000415283,-0.00813809410511888,0.01186190589488112,0.404302334793006,0.39244042889812486,-0.00813809410511888,18,291,43,0.04777772080380782,-0.015091301442652444,False,-0.0035377788412931203,0.01646222115870688,0.7717503084578493,0.7552880872991424,,,validation,
~asp_jupiter_sun_conj_orb1,1,2,-0.007142781808367898,0.012857218191632103,0.5154899087536525,-0.008637154047646072,0.011362845952353928,0.4038032748504788,0.39244042889812486,-0.008637154047646072,14,277,36,0.006876607316974481,0.015412809149429996,True,-0.03512631380036922,-0.015126313800369218,0.7401617734987732,0.7552880872991424,,,validation,
~asp_moon_pluto_square_orb1,1,2,-0.03669605196661373,-0.016696051966613723,0.4859366385954067,-0.00884971576544306,0.01115028423455694,0.4035907131326818,0.39244042889812486,-0.00884971576544306,41,255,104,0.01431757199503958,0.009729855615849076,True,-0.06747287186006111,-0.047472871860061105,0.7078152154390813,0.7552880872991424,,,validation,
~asp_sun_uranus_trine_orb5,1,2,-0.13911630146404672,-0.11911630146404673,0.3835163890979737,-0.008955706129491408,0.011044293870508592,0.40348472276863345,0.39244042889812486,-0.008955706129491408,31,165,81,0.10533421390908315,-0.06604399773654138,False,-0.003234382877052449,0.01676561712294755,0.77205370442209,0.7552880872991424,,,validation,
