rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on
~mars_sign_scorpio & ~venus_sign_cancer,2,5,-0.09245597273785557,-0.04245597273785556,0.46017671782416486,0.029383275756160607,0.07938327575616061,0.47182370465428547,0.39244042889812486,-0.21873493775878577,-0.16873493775878579,0.5865531495403566,0.7552880872991424,,,validation
~asp_jupiter_mars_conj & ~asp_saturn_sun_sextile,2,5,-0.05438862121211803,-0.004388621212118027,0.4982440693499024,0.029326245851941143,0.07932624585194115,0.471766674750066,0.39244042889812486,-0.12638763078073306,-0.07638763078073307,0.6789004565184094,0.7552880872991424,,,validation
mars_sign_pisces & ~mercury_sign_gemini,2,4,-0.22459818817175345,-0.18459818817175344,0.318034502390267,0.029289821080140922,0.06928982108014092,0.4617302499782658,0.39244042889812486,-0.902398252802768,-0.8623982528027679,-0.10711016550362551,0.7552880872991424,,,validation
~asp_jupiter_mars_conj & ~asp_mars_venus_sextile,2,5,-0.06768771569120775,-0.01768771569120775,0.4849449748708127,0.029246395395658972,0.07924639539565898,0.47168682429378384,0.39244042889812486,-0.19764780655993613,-0.14764780655993615,0.6076402807392063,0.7552880872991424,,,validation
~sun_sign_cancer & ~sun_sign_libra,2,5,0.05972720597992802,0.10972720597992802,0.6123598965419484,0.029230940902672295,0.0792309409026723,0.47167136980079716,0.39244042889812486,-0.3108259141986457,-0.2608259141986457,0.4944621731004967,0.7552880872991424,,,validation
~asp_saturn_venus_sextile & ~sun_sign_cancer,2,5,-0.1444153707208526,-0.0944153707208526,0.4082173198411678,0.02922827879260502,0.07922827879260502,0.4716687076907299,0.39244042889812486,-0.25212498151033497,-0.20212498151033498,0.5531631057888075,0.7552880872991424,,,validation
~mercury_sign_gemini & ~sun_sign_cancer,2,5,-0.07229966314193122,-0.022299663141931214,0.4803330274200892,0.0291524118929241,0.0791524118929241,0.47159284079104896,0.39244042889812486,-0.26567260759658423,-0.21567260759658424,0.5396154797025582,0.7552880872991424,,,validation
~mercury_retro & mercury_sign_sagittarius,2,4,-0.11348067042123419,-0.07348067042123418,0.42915202014078624,0.02895073271350216,0.06895073271350216,0.461391161611627,0.39244042889812486,-0.6917834126025153,-0.6517834126025153,0.10350467469662722,0.7552880872991424,,,validation
asp_jupiter_saturn_square & ~asp_saturn_sun_trine,2,4,-0.3748130616787932,-0.3348130616787932,0.1678196288832272,0.028931699962485992,0.06893169996248599,0.46137212886061085,0.39244042889812486,-0.46899316112045614,-0.42899316112045616,0.3262949261786863,0.7552880872991424,,,validation
~asp_jupiter_venus_square & mercury_sign_sagittarius,2,4,-0.16437436555566323,-0.12437436555566322,0.3782583250063572,0.028418017982276646,0.06841801798227665,0.4608584468804015,0.39244042889812486,-0.6878417091728949,-0.6478417091728949,0.10744637812624762,0.7552880872991424,,,validation
~mercury_sign_gemini & ~saturn_ingress_1d,2,5,-0.04106941767594326,0.008930582324056746,0.5115632728860772,0.02837645549635852,0.07837645549635852,0.4708168843944834,0.39244042889812486,-0.14548818798203117,-0.09548818798203118,0.6597998993171112,0.7552880872991424,,,validation
~asp_jupiter_venus_trine & ~saturn_ingress_1d,2,5,-0.09582849859906346,-0.04582849859906346,0.45680419196295696,0.028313957366327566,0.07831395736632757,0.47075438626445243,0.39244042889812486,-0.10209403367072618,-0.05209403367072618,0.7031940536284162,0.7552880872991424,,,validation
~asp_saturn_sun_trine & ~venus_sign_scorpio,2,5,-0.059620088637914695,-0.009620088637914692,0.49301260192410573,0.028289968417850017,0.07828996841785002,0.4707303973159749,0.39244042889812486,-0.1710847505746897,-0.1210847505746897,0.6342033367244527,0.7552880872991424,,,validation
~mars_sign_cancer,1,2,-0.053749703770239673,-0.03374970377023967,0.46888298679178075,0.028261462417857226,0.048261462417857226,0.4407018913159821,0.39244042889812486,0.03714121288529716,0.057141212885297166,0.8124293001844396,0.7552880872991424,,,validation
~mars_sign_scorpio,1,2,-0.060540253486494264,-0.04054025348649426,0.46209243707552616,0.028261293108971148,0.04826129310897115,0.440701722007096,0.39244042889812486,-0.11730183676318438,-0.09730183676318438,0.657986250535958,0.7552880872991424,,,validation
~mars_sign_taurus & ~venus_sign_scorpio,2,5,-0.02524297619734979,0.024757023802650213,0.5273897143646706,0.0282310724704629,0.0782310724704629,0.47067150136858776,0.39244042889812486,-0.2111081747599644,-0.16110817475996442,0.594179912539178,0.7552880872991424,,,validation
~asp_saturn_sun_trine & ~sun_sign_virgo,2,5,-0.08045221710833607,-0.030452217108336066,0.47218047345368436,0.02816629713849826,0.07816629713849826,0.4706067260366231,0.39244042889812486,-0.05315867105971857,-0.003158671059718565,0.7521294162394239,0.7552880872991424,,,validation
~mars_sign_taurus & ~mercury_sign_cancer,2,5,-0.1730014297803667,-0.12300142978036671,0.3796312607816537,0.028110730421790783,0.07811073042179079,0.47055115931991565,0.39244042889812486,-0.1946900041786777,-0.14469000417867772,0.6105980831204647,0.7552880872991424,,,validation
~mars_sign_cancer & ~venus_sign_scorpio,2,5,-0.06520275119671921,-0.01520275119671921,0.4874299393653012,0.027995511562741257,0.07799551156274126,0.4704359404608661,0.39244042889812486,-0.084208306517718,-0.034208306517718,0.7210797807814244,0.7552880872991424,,,validation
~mars_sign_taurus & ~saturn_ingress_1d,2,5,-0.08862974322128798,-0.03862974322128798,0.46400294734073244,0.027965438669063633,0.07796543866906364,0.4704058675671885,0.39244042889812486,-0.14909664259476335,-0.09909664259476336,0.6561914447043791,0.7552880872991424,,,validation
~asp_jupiter_venus_square & ~mars_sign_leo,2,5,-0.15116454732641743,-0.10116454732641744,0.401468143235603,0.027945038496752048,0.07794503849675205,0.4703854673948769,0.39244042889812486,-0.039302901393410375,0.010697098606589628,0.7659851859057321,0.7552880872991424,,,validation
