rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on,partial_stage
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_moon_neptune_trine_orb1,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb1 & ~asp_mars_neptune_trine_orb3,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~sun_sign_aries,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,-0.0153354577838473,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mercury_saturn_conj_orb3,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mars_venus_sextile_orb1,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.006278359964866406,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & ~asp_sun_uranus_conj_orb3 & venus_sign_taurus,short,3,7,0.5998357493993175,20.394415479576796,34,0.37516908273265087,0.38983574939931753,2.958908000617533,0.6764705882352942,,,7,20,,,False,0.1639387838751261,60,,,,,,,,,,,validation,L3_beam
~mercury_sign_aquarius & ~sun_sign_scorpio & venus_sign_capricorn,long,3,7,0.6038625855392377,18.11587756617713,30,0.3738625855392377,0.3938625855392377,2.9085445394462055,0.6666666666666666,,,6,17,,,False,0.11246649178961125,74,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~mercury_sign_taurus,long,3,7,0.6031231562196241,18.093694686588723,30,0.3731231562196241,0.3931231562196241,3.4211421846004293,0.6,,,6,19,,,False,0.028083812637867467,85,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_pluto_trine_orb5,long,3,7,0.6031231562196241,18.093694686588723,30,0.3731231562196241,0.3931231562196241,3.4211421846004293,0.6,,,6,19,,,False,0.028083812637867467,85,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_neptune_sun_opp_orb3,long,3,7,0.5931819066866015,20.16818482734445,34,0.3685152400199349,0.38318190668660157,3.0330580726205456,0.5588235294117647,,,7,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mercury_uranus_trine_orb1,long,3,7,0.5931819066866015,20.16818482734445,34,0.3685152400199349,0.38318190668660157,3.0330580726205456,0.5588235294117647,,,7,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
~asp_jupiter_mercury_opp_orb5 & ~asp_jupiter_moon_trine_orb1 & asp_jupiter_venus_opp_orb5,short,3,7,0.5864076013916091,17.59222804174827,30,0.3564076013916091,0.3764076013916091,3.378572436485094,0.7,,,5,8,,,False,-0.10264069319064292,61,,,,,,,,,,,validation,L3_beam
~asp_mars_pluto_trine_orb1 & asp_neptune_pluto_sextile_orb5 & sun_sign_virgo,short,3,6,0.5537753990396236,16.613261971188706,30,0.3537753990396236,0.3737753990396236,2.958649981137563,0.6666666666666666,,,5,22,,,False,-0.006482173215872559,6,,,,,,,,,,,validation,L3_beam
~asp_mars_venus_sextile_orb3 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5520673916537168,16.562021749611503,30,0.35206739165371675,0.3720673916537168,3.0788985835688925,0.6333333333333333,,,5,12,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & ~asp_jupiter_venus_sextile_orb1 & asp_mars_mercury_conj_orb5,long,3,7,0.5646893763880717,22.58757505552287,40,0.3480227097214051,0.35468937638807174,2.9665066111428073,0.6,,,9,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_mercury_opp_orb5 & asp_jupiter_venus_opp_orb5 & ~asp_mars_neptune_trine_orb5,short,3,7,0.5777329683957323,17.331989051871968,30,0.3477329683957323,0.36773296839573233,3.3434765486398015,0.7,,,5,8,,,False,-0.1622800036599624,59,,,,,,,,,,,validation,L3_beam
~asp_jupiter_mercury_opp_orb5 & asp_jupiter_venus_opp_orb5 & ~asp_mercury_uranus_conj_orb5,short,3,7,0.5777329683957323,17.331989051871968,30,0.3477329683957323,0.36773296839573233,3.3434765486398015,0.7,,,5,5,,,False,-0.1622800036599624,59,,,,,,,,,,,validation,L3_beam
~asp_jupiter_mercury_opp_orb5 & ~asp_mars_pluto_trine_orb1 & asp_mars_saturn_trine_orb5,short,3,7,0.5642766981191951,20.313961132291023,36,0.34227669811919514,0.35427669811919515,2.6477192092335833,0.6111111111111112,,,7,11,,,False,-0.052292720751658646,58,,,,,,,,,,,validation,L3_beam
~asp_mars_venus_sextile_orb3 & asp_mercury_uranus_square_orb5 & ~pluto_retro,short,3,7,0.5657012115287422,16.971036345862267,30,0.3357012115287422,0.35570121152874223,3.2061705754701126,0.6333333333333333,,,5,12,,,False,0.008818006377344733,78,,,,,,,,,,,validation,L3_beam
~asp_mars_pluto_trine_orb5 & asp_moon_neptune_sextile_orb1 & ~pluto_retro,short,3,7,0.5518645170724268,22.07458068289707,40,0.33519785040576017,0.3418645170724268,2.4708686336484336,0.6,,,7,1,,,False,-0.06697350926506176,109,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_sextile_orb1 & ~asp_uranus_venus_trine_orb5 & venus_sign_capricorn,long,3,7,0.5564575166200824,19.476013081702884,35,0.3331241832867491,0.3464575166200824,2.457653310277327,0.6,,,7,17,,,False,-0.02870852128768233,69,,,,,,,,,,,validation,L3_beam
~asp_jupiter_mercury_opp_orb5 & ~asp_jupiter_venus_sextile_orb3 & asp_mars_saturn_trine_orb5,short,3,7,0.5554312825242662,19.440094888349318,35,0.33209794919093294,0.34543128252426625,2.576837602880861,0.6,,,6,11,,,False,-0.005447019701948164,60,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mercury_uranus_trine_orb5,long,3,7,0.5604272494161757,16.812817482485272,30,0.33042724941617574,0.35042724941617576,3.125301398107396,0.6,,,6,17,,,False,0.016117289235636705,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_venus_conj_orb3 & asp_neptune_pluto_sextile_orb5 & asp_uranus_venus_trine_orb1,short,3,6,0.5272629503512536,15.817888510537609,30,0.3272629503512536,0.3472629503512536,2.7378121485160243,0.6666666666666666,,,5,3,,,False,-0.006594558680132145,6,,,,,,,,,,,validation,L3_beam
~asp_neptune_venus_sextile_orb3 & ~mercury_sign_aquarius & venus_sign_capricorn,long,3,7,0.539456661319321,23.196636436730806,43,0.3267899946526544,0.32945666131932105,2.6010045775418167,0.5813953488372093,,,11,11,,,False,0.037347416614276305,75,,,,,,,,,,,validation,L3_beam
asp_moon_neptune_sextile_orb1 & ~asp_moon_pluto_conj_orb1 & ~pluto_retro,short,3,7,0.5356433497408268,24.103950738337208,45,0.32564334974082687,0.32564334974082687,2.5053677111272195,0.6222222222222222,,,8,1,,,False,-0.06270529029898719,114,,,,,,,,,,,validation,L3_beam
~asp_jupiter_moon_trine_orb1 & ~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5,long,3,7,0.5365420956083405,23.60785220676698,44,0.3252087622750072,0.3265420956083406,2.7461652591118457,0.5681818181818182,,,9,11,,,False,0.03377336025515305,91,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_moon_pluto_conj_orb1,long,3,7,0.5550540871359287,16.651622614077862,30,0.32505408713592876,0.3450540871359288,3.2034696969189422,0.5666666666666667,,,6,16,,,False,-0.007309594710123967,97,,,,,,,,,,,validation,L3_beam
~asp_mars_neptune_trine_orb3 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,10,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_mars_neptune_trine_orb5 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,6,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_mars_neptune_trine_orb1 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,13,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_sun_venus_conj_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & mercury_sign_capricorn & ~pluto_retro,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_neptune_sun_sextile_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.27573581108526,26,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_moon_pluto_square_orb1 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_sextile_orb1 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & mercury_sign_capricorn & ~venus_sign_aries,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_mercury_uranus_trine_orb1 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_mercury_uranus_trine_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_uranus_venus_trine_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_trine_orb3 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_mercury_saturn_conj_orb5 & asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,3,6,0.5239392330708791,15.718176992126372,30,0.3239392330708791,0.3439392330708791,2.752340542760837,0.6,,,5,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & ~asp_sun_uranus_conj_orb5 & venus_sign_taurus,short,3,7,0.5496185095075656,18.137410813749668,33,0.32361850950756565,0.33961850950756567,2.6426527501531027,0.6666666666666666,,,6,20,,,False,0.13365602522358153,65,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_moon_uranus_opp_orb3,long,3,7,0.5528180295225679,16.584540885677036,30,0.3228180295225679,0.3428180295225679,3.09589928228748,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
~asp_moon_pluto_square_orb1 & mercury_sign_capricorn & ~venus_sign_sagittarius,short,3,7,0.5483170865143173,16.997829681943838,31,0.3196504198476507,0.33831708651431736,3.150353029037214,0.7096774193548387,,,8,16,,,False,-0.11271371136877487,82,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_sextile_orb1 & ~sun_sign_scorpio & venus_sign_capricorn,long,3,7,0.5388127266453984,20.474883612525137,38,0.31947939331206504,0.3288127266453984,2.515639565230447,0.631578947368421,,,8,17,,,False,0.06266451927875624,69,,,,,,,,,,,validation,L3_beam
~asp_mars_pluto_trine_orb1 & ~asp_moon_uranus_opp_orb1 & sun_sign_virgo,short,3,7,0.5485436860451242,16.456310581353726,30,0.3185436860451242,0.3385436860451242,3.025710241624998,0.6,,,5,22,,,False,0.14671452651591138,63,,,,,,,,,,,validation,L3_beam
~asp_mars_pluto_trine_orb1 & asp_mars_saturn_trine_orb5 & ~mercury_sign_aquarius,short,3,7,0.5464021649028168,16.938467111987322,31,0.31773549823615016,0.3364021649028168,2.6408618661574663,0.6129032258064516,,,6,11,,,False,-0.07103887900296527,58,,,,,,,,,,,validation,L3_beam
asp_mercury_uranus_square_orb5 & ~asp_moon_uranus_conj_orb1 & mercury_sign_capricorn,short,3,6,0.5139959390869976,15.419878172609927,30,0.3139959390869976,0.3339959390869976,2.6051509790050678,0.6333333333333333,,,6,14,,,False,-0.1469040975625514,36,,,,,,,,,,,validation,L3_beam
~asp_moon_uranus_opp_orb3 & ~mercury_sign_aquarius & venus_sign_capricorn,long,3,7,0.5319234473973168,20.213091001098036,38,0.31259011406398346,0.3219234473973168,2.4136322132491452,0.5789473684210527,,,8,17,,,False,0.06890773280825822,79,,,,,,,,,,,validation,L3_beam
~asp_mars_neptune_trine_orb5 & ~asp_sun_uranus_conj_orb3 & venus_sign_taurus,short,3,7,0.5363615919838846,18.236294127452076,34,0.31169492531721793,0.3263615919838846,2.5975573924212165,0.6470588235294118,,,7,16,,,False,0.20480931208384676,61,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mars_pluto_trine_orb3,long,3,7,0.5413467010701295,16.240401032103886,30,0.3113467010701295,0.33134670107012953,3.344212980349245,0.5666666666666667,,,6,17,,,False,0.003533647184134388,95,,,,,,,,,,,validation,L3_beam
~asp_moon_uranus_conj_orb1 & mercury_sign_capricorn & ~venus_sign_sagittarius,short,3,7,0.5397684251329866,16.732821179122585,31,0.31110175846632,0.32976842513298665,2.7967244955874637,0.6129032258064516,,,8,21,,,False,-0.22734657143509698,75,,,,,,,,,,,validation,L3_beam
~asp_jupiter_venus_conj_orb3 & ~mercury_sign_aquarius & venus_sign_capricorn,long,3,7,0.5404819742746713,16.214459228240138,30,0.3104819742746713,0.3304819742746713,2.3118277262141254,0.5666666666666667,,,6,17,,,False,0.09783160671811139,79,,,,,,,,,,,validation,L3_beam
