rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
~asp_jupiter_venus_conj_orb3 & ~mercury_sign_aquarius & venus_sign_capricorn,long,3,7,0.5404819742746713,16.214459228240138,30,0.3104819742746713,0.3304819742746713,2.3118277262141254,0.5666666666666667,,,6,17,0.4427725058043693,0.6381914427449732,True,0.09783160671811139,79,,,,,,,,,,,validation
~asp_moon_uranus_opp_orb1 & sun_sign_virgo,short,2,4,0.4096322658552227,12.288967975656682,30,0.3096322658552227,0.3296322658552227,2.4335633714042664,0.5666666666666667,,,5,22,0.3390476241249477,0.48021690758549784,True,0.14671452651591138,63,,,,,,,,,,,validation
~asp_moon_uranus_opp_orb3 & venus_sign_capricorn,long,2,4,0.3977264433750248,15.113604848250942,38,0.3083931100416914,0.31772644337502476,1.9267714754075695,0.5263157894736842,,,8,19,0.483771068481089,0.32028628077956706,True,-0.06307472882334766,92,,,,,,,,,,,validation
~asp_mars_neptune_trine_orb5 & venus_sign_taurus,short,2,4,0.40643851788789287,12.193155536636786,30,0.30643851788789284,0.32643851788789285,2.0124230312682805,0.6,,,5,18,0.1326576479850148,0.954000257693649,True,0.196092250213146,61,,,,,,,,,,,validation
~asp_mars_venus_sextile_orb1,long,1,2,0.3526644933985131,14.106579735940523,40,0.30599782673184645,0.3126644933985131,2.104039555542674,0.575,,,8,334,0.33433672888662885,0.3832107675849869,True,0.14124993788295312,83,,,,,,,,,,,validation
asp_jupiter_mars_trine_orb3 & ~asp_sun_venus_conj_orb5,short,2,4,0.40589416058854627,12.176824817656389,30,0.30589416058854624,0.32589416058854626,1.9559554086931639,0.5333333333333333,,,5,8,0.3222943424465144,0.5730937968726101,True,-0.11385473542408965,59,,,,,,,,,,,validation
~asp_mars_pluto_trine_orb1 & ~mercury_sign_aquarius,short,2,5,0.40569072328376254,24.341443397025753,60,0.30569072328376257,0.30569072328376257,2.3386377251835135,0.6,,,13,233,0.2921722534635557,0.5646165810320521,True,-0.1006814845219121,150,,,,,,,,,,,validation
asp_mars_mercury_conj_orb5 & ~asp_moon_uranus_opp_orb3,long,2,4,0.3925586280949749,13.739551983324121,35,0.3054013418920937,0.31873467522542703,2.1379651487294633,0.5428571428571428,0.6698326573271023,-0.03013380522122333,8,20,0.6990525250242933,-0.001689124506394742,False,0.0329768390976074,90,0.19143625826725996,11.486175496035598,60.0,1.5698243582689058,0.55,0.48053666557506164,-0.019605313962225313,0.01649175412293853,2000.0,,validation
~asp_mars_venus_sextile_orb3 & mercury_sign_capricorn,short,2,4,0.3971514729623579,14.297453026644884,36,0.3051514729623579,0.3171514729623579,2.1617715024486555,0.6111111111111112,,,9,21,0.365617378676063,0.47914011810672463,True,-0.12568411717498892,73,,,,,,,,,,,validation
~asp_neptune_venus_sextile_orb3 & ~sun_sign_aries,long,2,5,0.40432847571019576,28.3029932997137,70,0.3043284757101957,0.3043284757101957,2.1033599870062365,0.5857142857142857,,,14,207,0.5170088078235875,0.25408803289234017,True,0.09183560884269275,161,,,,,,,,,,,validation
